sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
NA	NA	SAMN12797032	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN12797036	erm(A)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN12797036	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN12797039	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN12797039	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN12797039	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN12797042	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN14086703	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN14086703	tet(L)	Doxycycline, Tetracycline, Minocycline, Tigecycline, Doxycycline, Tetracycline	atb
NA	NA	SAMN14086908	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN14086908	tet(L)	Doxycycline, Tetracycline, Doxycycline, Tetracycline, Minocycline, Tigecycline	atb
NA	NA	SAMN14478484	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	atb
NA	NA	SAMN14478484	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN14478490	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN14478490	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN14478490	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN26876553	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN26876560	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN26876604	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN31407740	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN31407742	erm(A)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN31407742	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN31407746	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN31407746	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN31407746	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN34495011	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN34495011	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN34495011	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN34495011	tet(L)	Doxycycline, Tetracycline, Minocycline, Tigecycline, Doxycycline, Tetracycline	atb
NA	NA	SAMN38159170	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN38159170	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN39507645	erm(A)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507645	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507646	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507646	mef(A)	Erythromycin, Azithromycin	atb
