sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
NA	NA	SAMEA117482088	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA117482088	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA117482088	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA2446227	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA2446227	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA2674808	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA2674809	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA2674809	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA3354231	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA3354231	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA3354231	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA3882105	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA4930320	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA5390807	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA5390807	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA5390821	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA5390821	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA5390844	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA5390844	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA5390873	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA5390873	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA6658224	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA6658224	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN02923991	blaTEM-181	Unknown Beta-lactam	atb
NA	NA	SAMN02923991	blaTEM-162	Unknown Beta-lactam	atb
NA	NA	SAMN02923991	blaTEM-157	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	atb
NA	NA	SAMN02923991	blaTEM-116	Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin	atb
NA	NA	SAMN02923992	blaTEM-116	Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin	atb
NA	NA	SAMN03197399	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN03197399	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN03197399	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN03197399	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN03197467	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN03197467	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN04480466	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN04480466	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN08348294	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN08348294	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN08348305	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN08348305	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN08348319	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN08348319	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN08348324	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN08348324	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN08348327	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN08348327	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN09466950	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN09466950	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN09466950	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN09631750	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN09631750	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN09631760	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN19572113	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN19572113	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN19573350	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN19573350	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN26876558	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN26876558	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN26876594	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN26876594	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN26876599	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN26876599	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN27922023	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN30469940	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN30469940	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN30469940	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN36496261	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN36496261	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA104055234	NA	NA	atb
NA	NA	SAMEA104055273	NA	NA	atb
NA	NA	SAMEA104055283	NA	NA	atb
NA	NA	SAMEA104055292	NA	NA	atb
NA	NA	SAMEA104113876	NA	NA	atb
NA	NA	SAMEA104113878	NA	NA	atb
NA	NA	SAMEA104138607	NA	NA	atb
NA	NA	SAMEA104138608	NA	NA	atb
NA	NA	SAMEA104138611	NA	NA	atb
NA	NA	SAMEA104138612	NA	NA	atb
NA	NA	SAMEA104138621	NA	NA	atb
NA	NA	SAMEA104138626	NA	NA	atb
NA	NA	SAMEA104138630	NA	NA	atb
NA	NA	SAMEA104138631	NA	NA	atb
NA	NA	SAMEA112824139	NA	NA	atb
NA	NA	SAMEA115092555	NA	NA	atb
NA	NA	SAMEA115606854	NA	NA	atb
NA	NA	SAMEA115606947	NA	NA	atb
NA	NA	SAMEA117482000	NA	NA	atb
NA	NA	SAMEA117482070	NA	NA	atb
NA	NA	SAMEA2674779	NA	NA	atb
NA	NA	SAMEA2783893	NA	NA	atb
NA	NA	SAMEA3882086	NA	NA	atb
NA	NA	SAMEA4928737	NA	NA	atb
NA	NA	SAMEA5931791	NA	NA	atb
NA	NA	SAMEA5931811	NA	NA	atb
NA	NA	SAMEA5936811	NA	NA	atb
NA	NA	SAMEA6499555	NA	NA	atb
NA	NA	SAMN00761853	NA	NA	atb
NA	NA	SAMN03197175	NA	NA	atb
NA	NA	SAMN06040900	NA	NA	atb
NA	NA	SAMN09631742	NA	NA	atb
NA	NA	SAMN09631756	NA	NA	atb
NA	NA	SAMN09631785	NA	NA	atb
NA	NA	SAMN16357189	NA	NA	atb
NA	NA	SAMN16357244	NA	NA	atb
NA	NA	SAMN20209571	NA	NA	atb
NA	NA	SAMN20399934	NA	NA	atb
NA	NA	SAMN20399935	NA	NA	atb
NA	NA	SAMN20399936	NA	NA	atb
NA	NA	SAMN26876541	NA	NA	atb
NA	NA	SAMN42334641	NA	NA	atb
