sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
NA	NA	SAMEA4362471	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA4362471	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA4362475	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA4362475	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA4362493	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA4362493	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA4362507	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA4362507	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA4555989	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA4555989	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA4555989	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA4555989	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5379086	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5379086	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5379087	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5379087	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390758	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390758	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390759	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390759	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390763	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390763	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390765	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390765	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390766	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390766	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390767	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390767	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390776	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390776	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390782	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390782	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390785	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390785	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390798	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390798	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390802	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390802	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390817	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390817	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390819	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390819	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390822	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390822	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390835	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390835	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390846	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390846	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390849	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA5390849	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA6160296	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA6160296	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	atb
NA	NA	SAMEA6160296	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA6160296	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA6160296	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA9581521	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA9581521	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA9581521	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA9581521	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA9581521	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMN00761820	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
