sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
NA	NA	SAMEA6647150	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA6647151	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA6647151	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA6647157	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA6647157	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA6647157	catQ	Chloramphenicol	atb
NA	NA	SAMEA6647159	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA6647159	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA6647160	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA6647161	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA6647161	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA6647163	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA6647163	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA6647165	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA6647165	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA6647165	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA6647166	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA6647166	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA6647168	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA6647168	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA6647169	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA6647169	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA7510345	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA7510345	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA7704723	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA7704723	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMEA9956575	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMEA9956575	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN02344625	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN02344625	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN02344625	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	atb
NA	NA	SAMN02344625	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN02471219	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN02471219	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN03197239	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN03197239	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN03197931	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN03197931	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN04477505	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN04477505	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN04477505	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN04480045	tet(32)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN04498650	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN04498650	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN05421814	blaTEM-116	Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin	atb
NA	NA	SAMN10174755	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN10174755	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN10174755	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN10239557	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN10239557	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN11056486	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN11056486	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN11849398	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN11849398	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN11849399	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	atb
NA	NA	SAMN11849399	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN11849399	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN11849401	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN11849401	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN26876534	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN26876534	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN26876534	catQ	Chloramphenicol	atb
NA	NA	SAMN26876591	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN26876591	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN26876592	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN26876592	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN26876592	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN29228697	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN29228697	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN29228697	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN30578105	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN30578105	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN30578106	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	atb
NA	NA	SAMN30578106	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN30578106	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN30578108	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN30578110	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN30578110	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN37326959	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN37326959	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN37326959	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN37326959	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN41328034	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN41328034	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN41328079	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN41328079	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN41328934	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN41328934	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN41329241	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN41329241	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN41329274	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN41329274	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN41336296	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN41337062	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN44729552	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	atb
NA	NA	SAMN44729552	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN44729552	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMEA104055293	NA	NA	atb
NA	NA	SAMEA104138632	NA	NA	atb
NA	NA	SAMEA104138633	NA	NA	atb
NA	NA	SAMEA104138634	NA	NA	atb
NA	NA	SAMEA104138635	NA	NA	atb
NA	NA	SAMEA104138636	NA	NA	atb
NA	NA	SAMEA104138638	NA	NA	atb
NA	NA	SAMEA104138641	NA	NA	atb
NA	NA	SAMEA104428617	NA	NA	atb
NA	NA	SAMEA112824120	NA	NA	atb
NA	NA	SAMEA114539087	NA	NA	atb
NA	NA	SAMEA115092756	NA	NA	atb
NA	NA	SAMEA115106834	NA	NA	atb
NA	NA	SAMEA117660279	NA	NA	atb
NA	NA	SAMEA3712952	NA	NA	atb
NA	NA	SAMEA3882093	NA	NA	atb
NA	NA	SAMEA4027254	NA	NA	atb
NA	NA	SAMEA4362449	NA	NA	atb
NA	NA	SAMEA4655644	NA	NA	atb
NA	NA	SAMEA4655659	NA	NA	atb
NA	NA	SAMEA5390801	NA	NA	atb
NA	NA	SAMEA5390809	NA	NA	atb
NA	NA	SAMEA5390811	NA	NA	atb
NA	NA	SAMEA5390812	NA	NA	atb
NA	NA	SAMEA5390814	NA	NA	atb
NA	NA	SAMEA5390818	NA	NA	atb
NA	NA	SAMEA6647152	NA	NA	atb
NA	NA	SAMEA6647153	NA	NA	atb
NA	NA	SAMEA6647162	NA	NA	atb
NA	NA	SAMEA6647164	NA	NA	atb
NA	NA	SAMEA7510346	NA	NA	atb
NA	NA	SAMEA7510347	NA	NA	atb
NA	NA	SAMEA7510348	NA	NA	atb
NA	NA	SAMEA7510349	NA	NA	atb
NA	NA	SAMEA9956645	NA	NA	atb
NA	NA	SAMEA9956667	NA	NA	atb
NA	NA	SAMEA9956669	NA	NA	atb
NA	NA	SAMN03140396	NA	NA	atb
NA	NA	SAMN03196965	NA	NA	atb
NA	NA	SAMN04480405	NA	NA	atb
NA	NA	SAMN04498582	NA	NA	atb
NA	NA	SAMN09631759	NA	NA	atb
NA	NA	SAMN11849392	NA	NA	atb
NA	NA	SAMN11849393	NA	NA	atb
NA	NA	SAMN11849397	NA	NA	atb
NA	NA	SAMN11849400	NA	NA	atb
NA	NA	SAMN11849403	NA	NA	atb
NA	NA	SAMN11849405	NA	NA	atb
NA	NA	SAMN11849408	NA	NA	atb
NA	NA	SAMN11849409	NA	NA	atb
NA	NA	SAMN11849417	NA	NA	atb
NA	NA	SAMN11849419	NA	NA	atb
NA	NA	SAMN11849421	NA	NA	atb
NA	NA	SAMN11849422	NA	NA	atb
NA	NA	SAMN11849423	NA	NA	atb
NA	NA	SAMN11849424	NA	NA	atb
NA	NA	SAMN11849425	NA	NA	atb
NA	NA	SAMN11849426	NA	NA	atb
NA	NA	SAMN12251081	NA	NA	atb
NA	NA	SAMN14086913	NA	NA	atb
NA	NA	SAMN15048692	NA	NA	atb
NA	NA	SAMN19249663	NA	NA	atb
NA	NA	SAMN19328836	NA	NA	atb
NA	NA	SAMN29228665	NA	NA	atb
NA	NA	SAMN30578102	NA	NA	atb
