user_genome	classification	species
110Ca-CMPN001x26_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	hominis
110Cm-CMPN001x27_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	sp001808705
111Ap-CMPN001x58_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	parasanguinis
111Ps-CMPN001x43_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	sanguinis_R
112Csv-CMPN001x28_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	salivarius_E
113Ap-CMPN001x59_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	parasanguinis_B
113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	parasanguinis_J
113Pp-CMPN001x44_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	parasanguinis_K
114Cim-CMPN001x30_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	oralis_I
116mi-CMPN001x92_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	sp001553685
118Ap-CMPN001x60_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	parasanguinis
118Cim-CMPN001x31_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	oralis_I
118Pim-CMPN001x45_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	N/A
118Pp-CMPN001x46_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	parasanguinis
120Cs-CMPN001x32_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	sanguinis
122Csv-CMPN001x33_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	salivarius_E
123Cs-CMPN001x34_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	sanguinis_H
123Pp-CMPN001x47_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	parasanguinis_D
124Ap-CMPN001x61_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	parasanguinis
127Cs-CMPN001x35_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	salivarius_D
129Cs-CMPN001x36_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	sanguinis
131As-CMPN001x62_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	salivarius_E
131Ca-CMPN001x63_260114_LH00793_B23GCKKLT3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus	hominis
