genome_id	species
SAMEA6160296	parasanguinis
SAMEA9581521	parasanguinis
SAMN00761820	parasanguinis
SAMN03197535	parasanguinis
SAMN03197643	parasanguinis
SAMN03197975	parasanguinis
SAMN19353788	parasanguinis
SAMN41327468	parasanguinis
SAMN41328995	parasanguinis
SAMN41336162	parasanguinis
SAMN41594588	parasanguinis
SAMN41594589	parasanguinis
SAMN41594590	parasanguinis
SAMEA104138657	parasanguinis_B
SAMEA104138661	parasanguinis_B
SAMN04477536	parasanguinis_B
SAMEA104138649	parasanguinis_C
SAMEA5390834	parasanguinis_C
SAMN11849375	parasanguinis_C
SAMN11849377	parasanguinis_C
SAMN11849379	parasanguinis_C
SAMEA104138666	parasanguinis_D
SAMEA111346985	parasanguinis_D
SAMEA111347020	parasanguinis_D
SAMEA111347059	parasanguinis_D
SAMEA114321098	parasanguinis_D
SAMEA2335678	parasanguinis_D
SAMEA5390890	parasanguinis_D
SAMEA5390893	parasanguinis_D
SAMEA5390905	parasanguinis_D
SAMN03197706	parasanguinis_D
SAMN04477645	parasanguinis_D
SAMN11849391	parasanguinis_D
SAMEA104138651	parasanguinis_E
SAMEA117078724	parasanguinis_E
SAMEA4964470	parasanguinis_E
SAMEA5390910	parasanguinis_E
SAMN03197539	parasanguinis_E
SAMN04480358	parasanguinis_E
SAMN10239556	parasanguinis_E
SAMN11849374	parasanguinis_E
SAMN11849378	parasanguinis_E
SAMN11849380	parasanguinis_E
SAMN11849381	parasanguinis_E
SAMN11849382	parasanguinis_E
SAMN11849383	parasanguinis_E
SAMN11849384	parasanguinis_E
SAMN11849387	parasanguinis_E
SAMN11849388	parasanguinis_E
SAMN11849389	parasanguinis_E
SAMN11849390	parasanguinis_E
SAMN26876559	parasanguinis_E
SAMN26876573	parasanguinis_E
SAMN29581410	parasanguinis_E
SAMN41594618	parasanguinis_E
SAMN41594619	parasanguinis_E
SAMN41594620	parasanguinis_E
SAMEA104113877	parasanguinis_I
SAMEA114321104	parasanguinis_I
SAMN03197258	parasanguinis_I
SAMN03197508	parasanguinis_I
SAMN03197583	parasanguinis_I
SAMN03197851	parasanguinis_I
SAMN04477535	parasanguinis_I
SAMN04498651	parasanguinis_I
