sample_key	GTDB_214	sample	element_symbol	element_name	source
NA	NA	SAMEA3882086	NA	NA	atb
NA	NA	SAMEA4928737	NA	NA	atb
NA	NA	SAMEA5931791	NA	NA	atb
NA	NA	SAMEA5931811	NA	NA	atb
NA	NA	SAMEA5936811	NA	NA	atb
NA	NA	SAMEA6499555	NA	NA	atb
NA	NA	SAMN00761853	NA	NA	atb
NA	NA	SAMN03197175	NA	NA	atb
NA	NA	SAMN06040900	NA	NA	atb
NA	NA	SAMN09631742	NA	NA	atb
NA	NA	SAMN09631756	NA	NA	atb
NA	NA	SAMN09631785	NA	NA	atb
NA	NA	SAMN16357189	NA	NA	atb
NA	NA	SAMN16357244	NA	NA	atb
NA	NA	SAMN20209571	NA	NA	atb
NA	NA	SAMN20399934	NA	NA	atb
NA	NA	SAMN20399935	NA	NA	atb
NA	NA	SAMN20399936	NA	NA	atb
NA	NA	SAMN26876541	NA	NA	atb
NA	NA	SAMN42334641	NA	NA	atb
